site_code,replicate,bareground,rock,litter,western stickseed ,desert parsley,prickly lettuce,wolf willow,rabbit brush,strawberry ,prickly rose,birch leaved spirea,fireweed,juniper,lupine ,aster  spp.,yarrow,milkvetch,alfalfa,dandilion,pussytoes,salsify,losel's tumble mustard ,mullein,clover,hawkweed,willowherb,thistle,kinninnick,grouseberry,pumpelly brome,foxtail barley,poa,fescue,stiff needlegrass,ryegrass,kentucky bluegrass,crested wheatgrass,quack grass,rush,cheatgrass,bluebunch wheatgrass,pine grass,timothy,ponderosa pine,trembling aspen,cyrptocrust,tailings ,droppings
HVC_CTRL2,A1,3,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,5,,
HVC_CTRL2,A2,,,75,,,,,,15,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,
HVC_CTRL2,A3,0,5,40,,,,,,,,5,20,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
HVC_CTRL2,B1,5,,45,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,
HVC_CTRL2,B2,,2,60,,,,,,,20,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
HVC_CTRL2,B3,2,20,60,,,,,,,10,25,,10,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,10,,
HVC_CTRL2,C1,15,5,50,,,,,,,,2,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,
HVC_CTRL2,C2,5,,45,,,,,,,,,5,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,
HVC_CTRL2,C3,10,0,35,,,,,,10,4,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,
TLB2_CTRL,A1,20,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,4,,,,
TLB2_CTRL,A2,3,1,75,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
TLB2_CTRL,A3,4,,80,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
TLB2_CTRL,B1,8,,65,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,35,,,,,,
TLB2_CTRL,B2,15,5,70,,,,,,,10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
TLB2_CTRL,B3,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,2,,
TLB2_CTRL,C1,,,50,,,,,,,,20,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,70,,,10,,,
TLB2_CTRL,C2,3,5,60,,,,,,,,,,,,10,,,,,,,,,,,,,5,,,,,,,,,,,,,,30,,,10,,,
TLB2_CTRL,C3,,,70,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,30,,,2,5,,
VNWD98A2,A1,10,3,85,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
VNWD98A2,A2,10,5,30,,,,,,,,,,,,,,10,,,,,,,,,,,,,8,,,35,,,,,,,,,,,,,,,
VNWD98A2,A3,,,75,,,,,,,,,,,,,,10,40,15,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,
VNWD98A2,B1,5,1,75,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
VNWD98A2,B2,10,3,80,,,,,,,,,,,,,3,,15,,2,,,,,,,,,,25,,,10,,,,,,,,,,,,,,,
VNWD98A2,B3,5,5,65,,,,,,,,,,,,,5,5,,3,,,,,,,,,,,,,,20,,,,,40,,,,,,,,,,
VNWD98A2,C1,3,5,85,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,
VNWD98A2,C2,7,5,40,,,,,,,,,,,,,,30,,,,,,,,,,,,,15,,,25,,,,,,5,,,,,,,,,
VNWD98A2,C3,,2,70,,,,,,,,,,,,,6,20,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
HUEJ14B,A1,5,8,20,,,,,,,,,,,,,25,,,,,,30,55,,45,,,,,,,,,,,,,,,,,,,,,5,,
HUEJ14B,A2,65,5,25,,,,,,,,,,,,,,,,2,,,,5,,5,,,,,,,,,,,,,25,,,,,,,,,,
HUEJ14B,A3,80,5,3,,,,,,,,,,,,,20,,,,,,10,2,,,,,,,,,,,,,,,5,,,,,,,,,,
HUEJ14B,B1,70,15,3,,,,,,,,,,,,,,,,,,,15,5,,20,,,,,,,,,,,,,,,,,,,,,,,
HUEJ14B,B2,5,5,20,,,,,,,,,,,,,15,,,,,,40,10,,,,,,,,,30,,,,,7,8,,,,,,,,,,
HUEJ14B,B3,2,5,25,,,,,,,,,,,,,10,,,5,,,10,55,,,,,,,,,,,,,,,10,,,,,,,,,,
HUEJ14B,C1,25,10,5,,,,,,,,,,,,,,,,,,,10,15,,5,,,,,,,,,,,,,,,20,5,,,,,,,
HUEJ14B,C2,5,3,15,,,,,,,,,,,,,3,,,,,,30,5,,,,,,,,,60,,,,,10,,,,,,,,,10,,
