Site,site_code,Replicate,Reclaimed(yr),Reclamation_method,sampling_year,age
HVC,HVO1,1,2000,no_biosolids,2017,17
HVC,HVO2,2,2000,no_biosolids,2017,17
HVC,HVO3,3,2000,no_biosolids,2017,17
HVC,HVO4,4,2000,no_biosolids,2017,17
HVC,HVO5,5,2000,no_biosolids,2017,17
HVC,HVO6,6,2000,no_biosolids,2017,17
HVC,HVO7,7,2000,no_biosolids,2017,17
HVC,HVO8,8,2000,no_biosolids,2017,17
HVC,HVO9,9,2000,no_biosolids,2017,17
HVC,HVO10,10,2000,no_biosolids,2017,17
HVC,HVN1,1,2014,biosolids,2017,3
HVC,HVN2,2,2014,biosolids,2017,3
HVC,HVN3,3,2014,biosolids,2017,3
HVC,HVN4,4,2014,biosolids,2017,3
HVC,HVN5,5,2014,biosolids,2017,3
HVC,HVN6,6,2014,biosolids,2017,3
HVC,HVN7,7,2014,biosolids,2017,3
HVC,HVN8,8,2014,biosolids,2017,3
HVC,HVN9,9,2014,biosolids,2017,3
HVC,HVN10,10,2014,biosolids,2017,3
HVC,HVC1,1,control,control,2017,#VALUE!
HVC,HVC2,2,control,control,2017,#VALUE!
HVC,HVC3,3,control,control,2017,#VALUE!
HVC,HVC4,4,control,control,2017,#VALUE!
HVC,HVC5,5,control,control,2017,#VALUE!
HVC,HVC6,6,control,control,2017,#VALUE!
HVC,HVC7,7,control,control,2017,#VALUE!
HVC,HVC8,8,control,control,2017,#VALUE!
HVC,HVC9,9,control,control,2017,#VALUE!
HVC,HVC10,10,control,control,2017,#VALUE!
HVC,HVC_CTRL2,A1,control,control,2018,#VALUE!
HVC,HVC_CTRL2,A2,control,control,2018,#VALUE!
HVC,HVC_CTRL2,A3,control,control,2018,#VALUE!
HVC,HVC_CTRL2,B1,control,control,2018,#VALUE!
HVC,HVC_CTRL2,B2,control,control,2018,#VALUE!
HVC,HVC_CTRL2,B3,control,control,2018,#VALUE!
HVC,HVC_CTRL2,C1,control,control,2018,#VALUE!
HVC,HVC_CTRL2,C2,control,control,2018,#VALUE!
HVC,HVC_CTRL2,C3,control,control,2018,#VALUE!
HVC,TLB2_CTRL,A1,control,control,2018,#VALUE!
HVC,TLB2_CTRL,A2,control,control,2018,#VALUE!
HVC,TLB2_CTRL,A3,control,control,2018,#VALUE!
HVC,TLB2_CTRL,B1,control,control,2018,#VALUE!
HVC,TLB2_CTRL,B2,control,control,2018,#VALUE!
HVC,TLB2_CTRL,B3,control,control,2018,#VALUE!
HVC,TLB2_CTRL,C1,control,control,2018,#VALUE!
HVC,TLB2_CTRL,C2,control,control,2018,#VALUE!
HVC,TLB2_CTRL,C3,control,control,2018,#VALUE!
HVC,VNWD98A2,A1,1998,no_biosolids,2018,20
HVC,VNWD98A2,A2,1998,no_biosolids,2018,20
HVC,VNWD98A2,A3,1998,no_biosolids,2018,20
HVC,VNWD98A2,B1,1998,no_biosolids,2018,20
HVC,VNWD98A2,B2,1998,no_biosolids,2018,20
HVC,VNWD98A2,B3,1998,no_biosolids,2018,20
HVC,VNWD98A2,C1,1998,no_biosolids,2018,20
HVC,VNWD98A2,C2,1998,no_biosolids,2018,20
HVC,VNWD98A2,C3,1998,no_biosolids,2018,20
HVC,HUEJ14B,A1,2014,biosolids,2018,4
HVC,HUEJ14B,A2,2014,biosolids,2018,4
HVC,HUEJ14B,A3,2014,biosolids,2018,4
HVC,HUEJ14B,B1,2014,biosolids,2018,4
HVC,HUEJ14B,B2,2014,biosolids,2018,4
HVC,HUEJ14B,B3,2014,biosolids,2018,4
HVC,HUEJ14B,C1,2014,biosolids,2018,4
HVC,HUEJ14B,C2,2014,biosolids,2018,4
HVC,HUEJ14B,C3,2014,biosolids,2018,4
HVC,BN99A1,A1,1999,biosolids,2018,19
HVC,BN99A1,A2,1999,biosolids,2018,19
HVC,BN99A1,A3,1999,biosolids,2018,19
HVC,BN99A1,B1,1999,biosolids,2018,19
HVC,BN99A1,B2,1999,biosolids,2018,19
HVC,BN99A1,B3,1999,biosolids,2018,19
HVC,BN99A1,C1,1999,biosolids,2018,19
HVC,BN99A1,C2,1999,biosolids,2018,19
HVC,BN99A1,C3,1999,biosolids,2018,19
HVC,BM98A,A1,2008,biosolids,2018,10
HVC,BM98A,A2,2008,biosolids,2018,10
HVC,BM98A,A3,2008,biosolids,2018,10
HVC,BM98A,B1,2008,biosolids,2018,10
HVC,BM98A,B2,2008,biosolids,2018,10
HVC,BM98A,B3,2008,biosolids,2018,10
HVC,BM98A,C1,2008,biosolids,2018,10
HVC,BM98A,C2,2008,biosolids,2018,10
